VALDATA,IPCA,TAXA_DESOCUPACAO,ANO,MES,TRIMESTRE,ANO_MES,IPCA_VARIACAO_MENSAL,IPCA_VARIACAO_ANUAL,DESOCUPACAO_VARIACAO_MENSAL,DESOCUPACAO_VARIACAO_ANUAL,CLASSIFICACAO_INFLACAO,CLASSIFICACAO_DESOCUPACAO
2013-06-01,3715.92,7.5,2013,6,2,2013-06,0.2600990750833754,6.695915835898392,-0.09999999999999964,-0.09999999999999964,Alta,Baixa
2013-07-01,3717.03,7.4,2013,7,3,2013-07,0.029871471936959715,6.2706921691397355,-0.09999999999999964,-0.09999999999999964,Alta,Baixa
2013-08-01,3725.95,7.2,2013,8,3,2013-08,0.23997654040994743,6.090762064213395,-0.20000000000000018,-0.09999999999999964,Alta,Baixa
2013-09-01,3738.99,7.0,2013,9,3,2013-09,0.3499778579959534,5.858620748231913,-0.20000000000000018,-0.09999999999999964,Moderada,Baixa
2013-10-01,3760.3,6.8,2013,10,4,2013-10,0.5699400105376062,5.83748487151341,-0.20000000000000018,-0.10000000000000053,Moderada,Baixa
2013-11-01,3780.61,6.5,2013,11,4,2013-11,0.5401164800680869,5.7744067237047725,-0.2999999999999998,-0.2999999999999998,Moderada,Baixa
2013-12-01,3815.39,6.2,2013,12,4,2013-12,0.9199573613781764,5.910683255331084,-0.2999999999999998,-0.7000000000000002,Moderada,Baixa
2014-01-01,3836.37,6.5,2014,1,1,2014-01,0.5498782562201932,5.585065392575617,0.2999999999999998,-0.7000000000000002,Moderada,Baixa
2014-02-01,3862.84,6.8,2014,2,1,2014-02,0.6899751588089753,5.679517624013752,0.2999999999999998,-1.0,Moderada,Baixa
2014-03-01,3898.38,7.2,2014,3,1,2014-03,0.9200484617535309,6.152891009198291,0.40000000000000036,-0.7999999999999998,Alta,Baixa
2014-04-01,3924.5,7.2,2014,4,2,2014-04,0.670021906535534,6.279552187877435,0.0,-0.7000000000000002,Alta,Baixa
2014-05-01,3942.55,7.0,2014,5,2,2014-05,0.459931201426933,6.374855650409583,-0.20000000000000018,-0.5999999999999996,Alta,Baixa
2014-06-01,3958.32,6.9,2014,6,2,2014-06,0.39999492714106744,6.523283601369245,-0.09999999999999964,-0.5999999999999996,Alta,Baixa
2014-07-01,3958.72,7.0,2014,7,3,2014-07,0.010105297196782992,6.502234310726562,0.09999999999999964,-0.40000000000000036,Alta,Baixa
2014-08-01,3968.62,7.0,2014,8,3,2014-08,0.25008083420903215,6.512969846616312,0.0,-0.20000000000000018,Alta,Baixa
2014-09-01,3991.24,6.8,2014,9,3,2014-09,0.5699714258356803,6.746474315256257,-0.20000000000000018,-0.20000000000000018,Alta,Baixa
2014-10-01,4008.0,6.7,2014,10,4,2014-10,0.41991962397651683,6.587240379756931,-0.09999999999999964,-0.09999999999999964,Alta,Baixa
2014-11-01,4028.44,6.6,2014,11,4,2014-11,0.5099800399201548,6.555291341873404,-0.10000000000000053,0.09999999999999964,Alta,Baixa
2014-12-01,4059.86,6.6,2014,12,4,2014-12,0.7799545233390548,6.4074707959081545,0.0,0.39999999999999947,Alta,Baixa
2015-01-01,4110.2,6.9,2015,1,1,2015-01,1.2399442345302436,7.13773697531781,0.3000000000000007,0.40000000000000036,Alta,Baixa
2015-02-01,4160.34,7.5,2015,2,1,2015-02,1.2198919760595617,7.701587433080315,0.5999999999999996,0.7000000000000002,Alta,Baixa
2015-03-01,4215.26,8.0,2015,3,1,2015-03,1.320084416177525,8.12850466091044,0.5,0.7999999999999998,Alta,Moderada
2015-04-01,4245.19,8.1,2015,4,2,2015-04,0.7100392383862397,8.17148681360682,0.09999999999999964,0.8999999999999995,Alta,Moderada
2015-05-01,4276.6,8.2,2015,5,2,2015-05,0.7398962119481212,8.472942638647574,0.09999999999999964,1.1999999999999993,Alta,Moderada
2015-06-01,4310.39,8.4,2015,6,2,2015-06,0.7901136416779586,8.894429960185125,0.20000000000000107,1.5,Alta,Moderada
2015-07-01,4337.11,8.6,2015,7,3,2015-07,0.6198975034741538,9.558392611753286,0.1999999999999993,1.5999999999999996,Alta,Moderada
2015-08-01,4346.65,8.8,2015,8,3,2015-08,0.2199621406881569,9.525477369967383,0.20000000000000107,1.8000000000000007,Alta,Moderada
2015-09-01,4370.12,9.0,2015,9,3,2015-09,0.5399560581137219,9.492789208366315,0.1999999999999993,2.2,Alta,Moderada
2015-10-01,4405.95,9.1,2015,10,4,2015-10,0.8198859527884794,9.928892215568851,0.09999999999999964,2.3999999999999995,Alta,Moderada
2015-11-01,4450.45,9.1,2015,11,4,2015-11,1.009997843824828,10.475767294535853,0.0,2.5,Muito Alta,Moderada
2015-12-01,4493.17,9.1,2015,12,4,2015-12,0.9599029311642804,10.673028133975059,0.0,2.5,Muito Alta,Moderada
2016-01-01,4550.23,9.6,2016,1,1,2016-01,1.2699274676898353,10.705805070312868,0.5,2.6999999999999993,Muito Alta,Moderada
2016-02-01,4591.18,10.3,2016,2,1,2016-02,0.8999545077941207,10.355884374834744,0.7000000000000011,2.8000000000000007,Muito Alta,Moderada
2016-03-01,4610.92,11.0,2016,3,1,2016-03,0.4299548264280695,9.386372370862063,0.6999999999999993,3.0,Alta,Moderada
2016-04-01,4639.05,11.3,2016,4,2,2016-04,0.610073477744133,9.277794397895045,0.3000000000000007,3.200000000000001,Alta,Moderada
